title,short,img,link
Boise State University,BSU,bsu.png,https://www.boisestate.edu/library/
Idaho State University,ISU,isu.png,https://www.isu.edu/library/
Lewis Clark State College,LCSC,lcsc.jpg,https://www.lcsc.edu/library
University of Idaho,UI,ui.jpg,https://www.lib.uidaho.edu/
College of Western Idaho,CWI,cwi.jpg,https://cwi.edu/
North Idaho College,NIC,nic.jpg,https://www.nic.edu/
Idaho College of Osteopathic Medicine,ICOM,icom.png,https://www.idahocom.org/
Northwest Nazarene University,NNU,nnu.jpg,https://www.nnu.edu/
The College of Idaho,COI,collegeofidaho.png,https://www.collegeofidaho.edu/
Brigham Young University-Idaho,BYU,byu-idaho.png,https://www.byui.edu/